X4EVERDROP,X1MTHEFF,X1SCIEFF,X1TXMTSCOR,S1M8GRADE,S1S8GRADE,X1PAREDU,X1PAREDEXPCT,X1SCHOOLBEL,X1SCHOOLCLI,X1POVERTY,X1CONTROL,S1EDUEXPECT,S1SUREHSGRAD,X1FAMINCOME,X2SEX,S1FYAA,S1FYBA,S1FYLICENSE,S1FYAPPR,S1FYMILITARY,S1FYJOB,S1FYFAMILY,S1FYTRAVEL,S1FYVOLUN,S1FYNOTSURE,S1PAYOFF,S1GETINTOCLG,S1AFFORD,S1WORKING,X1PAR_SURVEY_MISSING,X1_DUAL_PARENT,MATH_NO_CLASS,SCI_NO_CLASS,X1RACE_1,X1RACE_2,X1RACE_3,X1RACE_4,X1RACE_5,X1RACE_6,X1RACE_7,X1RACE_8,X1LOCALE_1,X1LOCALE_2,X1LOCALE_3,X1LOCALE_4,X1REGION_1,X1REGION_2,X1REGION_3,X1REGION_4
0.0,0.95,1.1,59.371,1,1,5,6,0.84,0.6,0,1.0,8,1,10,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,4,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
0.0,0.55,0.69,47.6821,2,1,3,6,0.05,0.32,0,1.0,11,1,3,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4,4,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
0.0,0.68,-0.05,64.2431,3,2,7,10,0.37,-0.61,0,1.0,10,1,6,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,2,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
0.0,0.1,0.25,49.269,1,1,4,10,-0.04,-2.14,0,1.0,10,1,5,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
1.0,0.1,0.25,62.5897,2,1,4,10,-2.27,-0.65,0,1.0,6,1,9,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
1.0,0.1,-1.74,49.496,2,4,2,0,1.23,-0.66,0,1.0,8,1,4,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
0.0,-1.41,0.25,54.6249,1,1,7,6,0.45,-0.32,0,1.0,8,1,7,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,4,3,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
0.0,0.07527073240239386,0.25,53.1875,1,1,2,0,0.11,-0.16,0,1.0,11,1,4,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,3,3,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
0.0,0.51,1.83,67.6823,1,1,7,0,1.0,1.37,0,2.0,11,1,13,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4,4,3,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
0.0,1.62,1.1,66.6624,2,1,7,10,0.85,-1.77,0,1.0,8,1,13,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4,4,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
