X1TXMTSCOR,X1MTHEFF,X1SCIEFF,X1SCHOOLBEL,X1SCHOOLCLI,S1M8GRADE,S1S8GRADE,X1PAREDU,X1PAREDEXPCT,S1EDUEXPECT,S1SUREHSGRAD,S1PAYOFF,S1GETINTOCLG,S1AFFORD,S1WORKING,X1PAR_SURVEY_MISSING,X1_DUAL_PARENT,X1POVERTY,MATH_NO_CLASS,SCI_NO_CLASS,S1FYFAMILY,S1FYMILITARY,X1CONTROL,X4EVERDROP
59.371,0.95,1.1,0.84,0.6,1,1,5,6,8,1,4,3,4,3,0,1,0,0,0,0.0,0.0,1.0,0.0
47.6821,0.55,0.69,0.05,0.32,2,1,3,6,8,1,4,4,3,3,0,1,0,0,0,0.0,0.0,1.0,0.0
64.2431,0.68,-0.05,0.37,-0.61,3,2,7,10,10,1,2,2,2,4,0,0,0,0,0,0.0,0.0,1.0,0.0
49.269,0.1,0.25,-0.04,-2.14,1,1,4,10,10,1,3,3,2,3,0,0,0,0,0,0.0,0.0,1.0,0.0
62.5897,0.1,0.25,-2.27,-0.65,2,1,4,10,6,1,3,3,3,3,0,0,0,0,0,0.0,1.0,1.0,1.0
49.496,0.1,-1.74,1.23,-0.66,2,4,2,6,8,1,3,3,3,3,0,0,0,0,0,0.0,0.0,1.0,1.0
54.6249,-1.41,0.25,0.45,-0.32,1,1,7,6,8,1,4,4,3,2,0,1,0,0,0,0.0,0.0,1.0,0.0
53.1875,0.07527073240239386,0.25,0.11,-0.16,1,1,2,6,4,1,2,3,3,1,0,1,0,1,0,0.0,1.0,1.0,0.0
67.6823,0.51,1.83,1.0,1.37,1,1,7,10,8,1,4,4,3,3,0,1,0,0,0,0.0,1.0,2.0,0.0
66.6624,1.62,1.1,0.85,-1.77,2,1,7,10,8,1,4,4,4,4,0,1,0,0,0,0.0,0.0,1.0,0.0
32.4783,0.07527073240239386,0.06604246807201108,-1.61,-0.73,4,4,2,6,2,3,2,3,2,3,0,0,0,1,1,0.0,0.0,1.0,1.0
53.4016,0.07527073240239386,0.38,0.77,1.22,6,1,4,10,6,1,4,4,3,4,0,1,0,1,0,0.0,0.0,1.0,0.0
63.3795,0.1,0.25,1.34,0.32,1,1,3,6,4,1,3,4,4,4,0,1,0,0,0,0.0,0.0,1.0,0.0
63.9808,0.1,0.67,1.59,0.68,2,1,7,7,6,1,4,3,2,4,0,1,0,0,0,0.0,0.0,2.0,0.0
53.8914,1.62,1.42,-0.59,-1.48,1,2,4,8,8,1,1,3,3,4,1,1,0,0,0,0.0,0.0,1.0,0.0
48.4647,-0.97,-0.05,0.49,-1.88,2,2,3,8,8,1,3,4,4,3,0,1,0,0,0,0.0,0.0,1.0,0.0
54.1491,0.49,-0.05,0.3,0.74,1,1,2,8,8,1,2,3,3,3,0,1,0,0,0,0.0,0.0,1.0,0.0
57.9257,0.78,-0.61,1.09,0.39,1,1,5,8,10,1,4,4,4,4,0,1,0,0,0,0.0,0.0,2.0,0.0
56.238,-0.17,-0.05,-0.04,-1.27,2,2,5,8,6,1,2,3,3,3,0,1,0,0,0,0.0,0.0,1.0,0.0
37.7725,0.1,-0.9,0.84,-0.3590853994490358,1,4,2,5,8,1,3,3,2,3,1,1,0,0,0,0.0,0.0,1.0,1.0
66.894,0.16,-0.89,0.21,-1.11,1,1,7,10,7,1,4,4,3,4,0,1,0,0,0,0.0,0.0,1.0,0.0
47.5236,0.07527073240239386,0.06604246807201108,1.09,-0.3590853994490358,1,1,4,6,8,1,3,3,1,3,0,1,0,1,1,0.0,0.0,2.0,0.0
70.8013,-0.17,-0.05,-1.28,0.08,2,1,5,8,6,1,3,3,3,4,0,1,0,0,0,0.0,0.0,1.0,0.0
