Feature,Type,Missing,Distribution,DR: group 0,DR: group 1,Gap,Spearman r,Signal,Multicollinearity,Key interaction,Missing handling
X1MTHEFF,Continuous,0 (0.0%),"μ=0.07, σ=0.93, skew=-0.37",μ=0.11,μ=-0.19,-0.30,-0.111,Moderate,—,—,Fill NaN → 0; keep MATH_NO_CLASS flag
X1SCIEFF,Continuous,0 (0.0%),"μ=0.06, σ=0.89, skew=-0.22",μ=0.10,μ=-0.16,-0.26,-0.097,Weak,—,—,Fill NaN → 0; keep SCI_NO_CLASS flag
X1TXMTSCOR,Continuous,0 (0.0%),"μ=52.01, σ=10.01, skew=-0.06",μ=53.13,μ=45.88,-7.24,-0.26,Strong,r≈−0.44 with S1M8GRADE & S1S8GRADE,—,Complete — no action needed
X1SCHOOLBEL,Continuous,0 (0.0%),"μ=0.10, σ=0.98, skew=-0.53",μ=0.17,μ=-0.28,-0.45,-0.156,Moderate,—,× S1M8GRADE: low belonging compounds poor grades (55% below-D),Complete — no action needed
X1SCHOOLCLI,Continuous,0 (0.0%),"μ=-0.36, σ=0.94, skew=-0.53",μ=-0.31,μ=-0.62,-0.30,-0.11,Moderate,—,—,Complete — no action needed
X1PAR_SURVEY_MISSING,Binary,0 (0.0%),"Yes=3,017 (19.0%)",13.3% (No),24.3% (Yes),+11.1pp,0.12,Moderate,—,—,Complete — no action needed
X1_DUAL_PARENT,Binary,"3,017 (19.0%)","Yes=10,109 (63.6%)",22.1% (No),10.8% (Yes),-11.3pp,-0.136,Moderate,—,—,Within-group median imputation
X1POVERTY,Binary,"3,017 (19.0%)","Yes=1,906 (12.0%)",10.6% (No),28.6% (Yes),+18.1pp,0.189,Moderate,r=−0.583 with X1FAMINCOME,× X1PAREDU & S1EDUEXPECT amplifier,Within-group median imputation
MATH_NO_CLASS,Binary,0 (0.0%),"Yes=1,476 (9.3%)",14.7% (No),22.2% (Yes),+7.6pp,0.061,Weak,—,—,Complete — no action needed
SCI_NO_CLASS,Binary,0 (0.0%),"Yes=2,526 (15.9%)",14.4% (No),20.5% (Yes),+6.2pp,0.062,Weak,—,—,Complete — no action needed
X1CONTROL,Binary,0 (0.0%),"Yes=12,878 (81.0%)",nan% (No),17.8% (Yes),+nanpp,-0.142,Moderate,—,—,Complete — no action needed
X2SEX,Binary,0 (0.0%),"Yes=7,733 (48.6%)",nan% (No),16.2% (Yes),+nanpp,-0.023,Weak,—,—,Complete — no action needed
S1FYAA,Binary,0 (0.0%),"Yes=2,367 (14.9%)",15.0% (No),17.4% (Yes),+2.4pp,0.024,Weak,—,—,Complete — no action needed
