col_name,MI_score,RF_importance,Corr_with_target,MI_rank,RF_rank,Corr_rank,avg_rank,Notes,Selected?
X2EVERDROP,0.167768096,0.117937522,0.686094725,2,1,1,1.333333333,Imputed?,
X2DROPSTAT,0.178947789,0.096629107,0.501037769,1,2,2,1.666666667,depends on X2ENROLSTAT,
X2ENROLSTAT,0.081310643,0.037077064,0.371879195,3,3,4,3.333333333,,Selected
X2UNIV2B,0.07885585,0.024178836,0.349872469,4,7,5,5.333333333,"depends on X2SQSTAT, X2ENROLSTAT, S2GRD1112",
S2DROPOUTHS,0.050922878,0.032319178,0.389579162,14,5,3,7.333333333,data leakage?,Selected
X2ENRSTATSCH,0.064812089,0.018325846,0.261792667,5,8,11,8,,Selected
X2SQSTAT,0.058051504,0.015969221,0.288647797,6,10,8,8,,Selected
S2ENROLLHS12,0.052316761,0.026082112,0.322490561,11,6,7,8,,Selected
X2TXMSCR,0.050817723,0.007212145,0.258823788,16,16,12,14.66666667,,Selected
X2TXMTH1,0.054572369,0.006746611,0.252951449,8,18,19,15,Imputed?,
X2TXMTH,0.051389971,0.006126154,0.257827452,13,22,14,16.33333333,,Selected
X2TXMTH3,0.053120023,0.00635029,0.251865367,9,20,23,17.33333333,Imputed?,
X2TXMTSCOR,0.050914894,0.005004986,0.257828312,15,27,13,18.33333333,,Selected
X2TXMTH5,0.052264164,0.004765456,0.255949619,12,30,16,19.33333333,Imputed?,
X2TXMTH2,0.050024523,0.006301972,0.25281606,18,21,21,20,Imputed?,
X2TXMPROF2,0.053117928,0.007703612,0.232100171,10,14,44,22.66666667,,Selected
X2TXMSEM,0.046792957,0.004357687,0.257498962,24,33,15,24,,Selected
P1DROPOUT,0.03347021,0.03259839,0.32482503,64,4,6,24.66666667,,Selected
X2TXMQUINT,0.038882075,0.004826745,0.268444962,37,29,9,25,Not needed,
X2TXMSEM3,0.04253682,0.006654723,0.248345506,31,19,28,26,Imputed?,
X2TXMSEM5,0.046337482,0.003950806,0.25565874,25,37,17,26.33333333,Imputed?,
X2TXMTH4,0.0478862,0.003600158,0.253025361,22,42,18,27.33333333,Imputed?,
X2TXMSEM4,0.043935887,0.004173228,0.248539359,28,34,26,29.33333333,Imputed?,
X2TXMSEM1,0.045732607,0.00381437,0.248754581,27,40,25,30.66666667,Imputed?,
X2REQLEVEL,0.033770382,0.007521601,0.252863508,60,15,20,31.66666667,,Selected
X2TXMPROF3,0.048321318,0.003883852,0.239911274,20,39,39,32.66666667,,Selected
S2SUREDIPL,0.032254194,0.006749538,0.262742538,71,17,10,32.66666667,,Selected
X2TXMPROF4,0.054867148,0.003595253,0.226452134,7,43,52,34,,Selected
X2TXMSEM2,0.043535281,0.002382196,0.252356586,29,53,22,34.66666667,Imputed?,
X1TXMSCR,0.038160159,0.003791635,0.248306015,38,41,29,36,,Selected
X1TXMPROF3,0.039453782,0.004042085,0.233502754,33,35,42,36.66666667,,Selected
X1TXMPROF2,0.039316354,0.002278233,0.248411626,35,55,27,39,,Selected
X1TXMTSCOR,0.03756721,0.002604869,0.248020453,40,49,30,39.66666667,,Selected
X2TESTDATE,0.042951025,0.002601945,0.236314127,30,50,40,40,"Remove Year, Keep month",Selected
X1TXMTH,0.037839317,0.002103506,0.248020219,39,59,31,43,,Selected
X1TXMTH2,0.036557463,0.002190376,0.244879517,42,57,38,45.66666667,Imputed?,
X1TXMTH1,0.035796653,0.002063439,0.246604474,47,60,34,47,Imputed?,
X1TXMTH4,0.032917775,0.002730349,0.246808088,67,46,33,48.66666667,Imputed?,
X1TXMTH3,0.035745172,0.00199453,0.245124391,48,62,37,49,Imputed?,
S1S8GRADE,0.033581128,0.002028577,0.250911245,63,61,24,49.33333333,,Selected
X1TXMTH5,0.03280823,0.002302469,0.24526848,68,54,36,52.66666667,Imputed?,
S1M8GRADE,0.029874709,0.002511217,0.246231171,76,51,35,54,,Selected
X1TXMQUINT,0.034396313,0.001677954,0.247491129,58,76,32,55.33333333,Not needed,
X1TXMPROF1,0.035174433,0.002622613,0.214906598,50,48,79,59,,Selected
C2AVGACTENG,0.026614756,0.002687761,0.229132274,91,47,47,61.66666667,,Selected
X1SES_U,0.028041191,0.001783719,0.216790937,79,69,71,73,"Depends on multiple columns: (X1PAR1EDU, X1PAR2EDU, X1FAMINCOME, X1PAR1OCC2, X1PAR2OCC2, X1LOCALE)",
X1SES,0.029228087,0.001532615,0.218656688,77,88,64,76.33333333,Not needed,
A2HIGHERED,0.035147839,0.001053846,0.233437573,51,140,43,78,,Selected
S2INSCHSUSP,0.022101741,0.004721764,0.23050212,166,31,46,81,,Selected
S2ALG1GRADE,0.03163824,0.001052571,0.234225465,72,141,41,84.66666667,,Selected
C2AVGSATMATH,0.026592205,0.001222167,0.226755967,92,114,51,85.66666667,,Selected
C2AVGACTSCI,0.02652182,0.001144439,0.226245583,93,124,53,90,,Selected
X1SESQ5_U,0.026651213,0.001220596,0.217639601,90,115,68,91,Not needed,
C2AVGACTCOMP,0.027088766,0.000948008,0.231703187,85,150,45,93.33333333,,Selected
X2TXMPROF1,0.046055858,0.005253612,0.194597463,26,24,231,93.66666667,,Selected
X1SES4,0.026406753,0.001587015,0.21151662,94,84,108,95.33333333,Imputed?,
C2PERSISTYR1,0.026181186,0.001103474,0.222738736,98,133,57,96,,Selected
X2X1TXMSCR,0.034548334,0.001749482,0.205415342,55,71,178,101.3333333,,Selected
C2AVGSATREAD,0.02610319,0.000921678,0.225983189,100,157,54,103.6666667,,Selected
C2AVGACTREAD,0.020417256,0.003227041,0.227241722,218,44,49,103.6666667,,Selected
X2TXMPROF5,0.050533034,0.004598311,0.184265107,17,32,265,104.6666667,,Selected
S2REQTYP4YR,0.028481144,0.004959711,0.200970489,78,28,210,105.3333333,,Selected
C2AIDFLYER,0.023560086,0.001461617,0.212448593,130,89,100,106.3333333,,Selected
S2EDUEXP,0.03366185,0.0040099,0.19478496,62,36,230,109.3333333,,Selected
X1SES3,0.025510557,0.001673255,0.208430685,104,77,147,109.3333333,Imputed?,
X1SESQ5,0.025990398,0.000884954,0.218111007,102,162,66,110,Not needed,
X1SES4_U,0.0247241,0.001597104,0.209650779,115,83,134,110.6666667,Imputed?,
X2SES,0.034554558,0.00177567,0.199785117,54,70,214,112.6666667,,Selected
C2PCTEXAMINFO,0.026961483,0.000636043,0.22275878,87,201,55,114.3333333,,Selected
X1SES3_U,0.026021024,0.001659807,0.206592051,101,78,166,115,Imputed?,
X2SQDATE,0.041248645,0.005087894,0.166721009,32,26,287,115,,Selected
C2AVGSATWRIT,0.022661972,0.000943242,0.227891573,149,151,48,116,,Selected
X1SES2,0.026129868,0.001642471,0.20599355,99,79,173,117,Imputed?,
C2AVGACTMATH,0.026374682,0.000604575,0.226822865,95,207,50,117.3333333,,Selected
X2SES_U,0.034590551,0.001560466,0.196003464,53,85,227,121.6666667,,Selected
C2GRADPLAN,0.024843141,0.000748304,0.215802784,112,178,75,121.6666667,,Selected
C2INFOSESSN,0.027666482,0.000631209,0.2143762,82,202,82,122,,Selected
C2SELECTCLG,0.023748508,0.00094117,0.213365705,126,152,89,122.3333333,,Selected
S1SUREHSGRAD,0.02119379,0.001262293,0.216714632,189,109,72,123.3333333,,Selected
C2PCTINFO,0.026949701,0.000533654,0.222501423,88,225,58,123.6666667,,Selected
X2STUEDEXPCT,0.027175624,0.002181679,0.194579054,83,58,232,124.3333333,,Selected
X2SES2,0.03522096,0.001382259,0.19417231,49,93,234,125.3333333,Imputed?,
C2UPMCLGREQ,0.024272145,0.000867934,0.212690382,121,164,95,126.6666667,,Selected
X1SES1_U,0.025973768,0.001705951,0.201658136,103,75,205,127.6666667,Imputed?,
X2SES4,0.03454065,0.001396202,0.193417816,56,92,236,128,Imputed?,
